configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
application,second,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221075,compressed,360,2.0889510225775556e-14,0,6748.443465221216,0.14519437501439825,61,tolerance,18,6748.443465221216
application,first,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221075,compressed,360,2.0889510225775556e-14,1,6748.443465221216,0.14387904200702906,61,tolerance,18,6748.443465221216
application,second,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221075,compressed,360,2.0889510225775556e-14,2,6748.443465221216,0.14317462500184774,61,tolerance,18,6748.443465221216
application,first,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221075,clique,360,9.648210407356343e-07,0,6748.873219664619,0.2798557080095634,61,tolerance,27,6748.449976261322
application,second,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221075,clique,360,9.648210407356343e-07,1,6748.873219664619,0.2775617500010412,61,tolerance,27,6748.449976261322
application,first,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221075,clique,360,9.648210407356343e-07,2,6748.873219664619,0.27868041599867865,61,tolerance,27,6748.449976261322
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,compressed,360,3.2553800968037316e-12,0,6943.205805689054,0.24332366700400598,62,tolerance,30,6943.202224135587
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,compressed,360,3.2553800968037316e-12,1,6943.205805689054,0.24373816698789597,62,tolerance,30,6943.202224135587
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,compressed,360,3.2553800968037316e-12,2,6943.205805689054,0.2414546249783598,62,tolerance,30,6943.202224135587
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,clique,360,6.241588752347321e-08,0,6944.581746937854,0.29914529199595563,62,tolerance,30,6943.202657479113
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,clique,360,6.241588752347321e-08,1,6944.581746937854,0.3000327079789713,62,tolerance,30,6943.202657479113
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,clique,360,6.241588752347321e-08,2,6944.581746937854,0.3012920409964863,62,tolerance,30,6943.202657479113
application,second,uci_online_retail,uci_online_retail_n360_s63,7,7207.114304003445,compressed,360,4.422210349853974e-07,0,7207.117491138701,0.19252933299867436,63,tolerance,24,7207.117491140992
application,first,uci_online_retail,uci_online_retail_n360_s63,7,7207.114304003445,compressed,360,4.422210349853974e-07,1,7207.117491138701,0.1923229999956675,63,tolerance,24,7207.117491140992
application,second,uci_online_retail,uci_online_retail_n360_s63,7,7207.114304003445,compressed,360,4.422210349853974e-07,2,7207.117491138701,0.19417720797355287,63,tolerance,24,7207.117491140992
application,first,uci_online_retail,uci_online_retail_n360_s63,8,7207.117491134586,clique,360,0.0,0,7208.359175273916,0.27381779099232517,63,exact,27,7207.117491134586
application,second,uci_online_retail,uci_online_retail_n360_s63,8,7207.117491134586,clique,360,0.0,1,7208.359175273916,0.2730162920197472,63,exact,27,7207.117491134586
application,first,uci_online_retail,uci_online_retail_n360_s63,8,7207.117491134586,clique,360,0.0,2,7208.359175273916,0.27377833300852217,63,exact,27,7207.117491134586
application,second,uci_online_retail,uci_online_retail_n720_s61,6,13894.621510162791,compressed,720,6.953143520416723e-08,0,13894.622476278708,0.3136312910064589,61,tolerance,21,13894.622476275767
application,first,uci_online_retail,uci_online_retail_n720_s61,6,13894.621510162791,compressed,720,6.953143520416723e-08,1,13894.622476278708,0.3131922500033397,61,tolerance,21,13894.622476275767
application,second,uci_online_retail,uci_online_retail_n720_s61,6,13894.621510162791,compressed,720,6.953143520416723e-08,2,13894.622476278708,0.3117047499981709,61,tolerance,21,13894.622476275767
application,first,uci_online_retail,uci_online_retail_n720_s61,8,13894.622370547204,clique,720,7.905178325496999e-07,0,13895.70652667129,0.5849184999824502,61,tolerance,27,13894.633354493964
application,second,uci_online_retail,uci_online_retail_n720_s61,8,13894.622370547204,clique,720,7.905178325496999e-07,1,13895.70652667129,0.5844723329937551,61,tolerance,27,13894.633354493964
application,first,uci_online_retail,uci_online_retail_n720_s61,8,13894.622370547204,clique,720,7.905178325496999e-07,2,13895.70652667129,0.581747499993071,61,tolerance,27,13894.633354493964
application,first,uci_online_retail,uci_online_retail_n720_s62,6,13925.319701949302,compressed,720,3.098778588632767e-08,0,13925.320133462837,0.3207565839984454,62,tolerance,21,13925.320133464127
application,second,uci_online_retail,uci_online_retail_n720_s62,6,13925.319701949302,compressed,720,3.098778588632767e-08,1,13925.320133462837,0.3219471659976989,62,tolerance,21,13925.320133464127
application,first,uci_online_retail,uci_online_retail_n720_s62,6,13925.319701949302,compressed,720,3.098778588632767e-08,2,13925.320133462837,0.31753775000106543,62,tolerance,21,13925.320133464127
application,second,uci_online_retail,uci_online_retail_n720_s62,9,13925.319701949302,clique,720,8.097049068949655e-07,0,13927.373424939877,0.6669984589971136,62,tolerance,30,13925.330977348995
application,first,uci_online_retail,uci_online_retail_n720_s62,9,13925.319701949302,clique,720,8.097049068949655e-07,1,13927.373424939877,0.680493916006526,62,tolerance,30,13925.330977348995
application,second,uci_online_retail,uci_online_retail_n720_s62,9,13925.319701949302,clique,720,8.097049068949655e-07,2,13927.373424939877,0.6900200420059264,62,tolerance,30,13925.330977348995
application,second,uci_online_retail,uci_online_retail_n720_s63,8,13541.283349035602,compressed,720,8.545103060081874e-08,0,13541.284506152879,0.4475096670212224,63,tolerance,27,13541.28450615222
application,first,uci_online_retail,uci_online_retail_n720_s63,8,13541.283349035602,compressed,720,8.545103060081874e-08,1,13541.284506152879,0.45918987499317154,63,tolerance,27,13541.28450615222
