family,groups,seed,repeat,order_index,method,status,certified,objective,upper_bound,relative_gap,seconds,nodes,theta_integer_solves,interval_bound_evaluations,interval_splits,thresholds_covered_by_prunes
dense_frontier,30,0,0,0,enumeration,optimal,True,732.980194744982,732.9801947449821,0.0,0.12871754099614918,575,7,0,0,19
dense_frontier,30,0,0,1,scip,optimal,True,732.9801947449821,732.9801947449822,0.0,0.2775309999997262,49,0,0,0,0
dense_frontier,30,0,0,2,envelope,optimal,True,732.980194744982,732.980194744982,0.0,0.14839541699620895,575,10,21,10,19
dense_frontier,30,0,0,3,clique,optimal,True,732.980194744982,732.980194744982,0.0,0.14857533300528303,575,10,21,10,19
dense_frontier,30,0,1,0,scip,optimal,True,732.9801947449821,732.9801947449822,0.0,0.24640062497928739,49,0,0,0,0
dense_frontier,30,0,1,1,envelope,optimal,True,732.980194744982,732.980194744982,0.0,0.14888200000859797,575,10,21,10,19
dense_frontier,30,0,1,2,clique,optimal,True,732.980194744982,732.980194744982,0.0,0.16314179199980572,575,10,21,10,19
dense_frontier,30,0,1,3,enumeration,optimal,True,732.980194744982,732.9801947449821,0.0,0.13444341698777862,575,7,0,0,19
dense_frontier,30,1,0,0,scip,optimal,True,734.4794777676802,734.4794777676801,0.0,0.04246925000916235,1,0,0,0,0
dense_frontier,30,1,0,1,envelope,optimal,True,734.4794777676801,734.4794777676801,0.0,0.08931883299374022,168,8,19,9,21
dense_frontier,30,1,0,2,clique,optimal,True,734.4794777676801,734.4794777676801,0.0,0.08744699999806471,168,8,19,9,21
dense_frontier,30,1,0,3,enumeration,optimal,True,734.4794777676801,734.4794777676802,0.0,0.07469095799024217,168,4,0,0,21
dense_frontier,30,1,1,0,envelope,optimal,True,734.4794777676801,734.4794777676801,0.0,0.08980341700953431,168,8,19,9,21
dense_frontier,30,1,1,1,clique,optimal,True,734.4794777676801,734.4794777676801,0.0,0.08843958401121199,168,8,19,9,21
dense_frontier,30,1,1,2,enumeration,optimal,True,734.4794777676801,734.4794777676802,0.0,0.07438337500207126,168,4,0,0,21
dense_frontier,30,1,1,3,scip,optimal,True,734.4794777676802,734.4794777676801,0.0,0.04321479200734757,1,0,0,0,0
dense_frontier,30,2,0,0,envelope,optimal,True,731.3348377704928,731.3348377704928,0.0,0.11834129100316204,301,10,21,10,19
dense_frontier,30,2,0,1,clique,optimal,True,731.3348377704928,731.3348377704928,0.0,0.11498933300026692,301,10,21,10,19
dense_frontier,30,2,0,2,enumeration,optimal,True,731.3348377704928,731.3348377704928,0.0,0.09834758401848376,301,6,0,0,19
dense_frontier,30,2,0,3,scip,optimal,True,731.3348377704926,731.3348377704928,0.0,0.2249059170135297,0,0,0,0,0
dense_frontier,30,2,1,0,clique,optimal,True,731.3348377704928,731.3348377704928,0.0,0.11355087498668581,301,10,21,10,19
dense_frontier,30,2,1,1,enumeration,optimal,True,731.3348377704928,731.3348377704928,0.0,0.10229833400808275,301,6,0,0,19
dense_frontier,30,2,1,2,scip,optimal,True,731.3348377704926,731.3348377704928,0.0,0.2271519170026295,0,0,0,0,0
dense_frontier,30,2,1,3,envelope,optimal,True,731.3348377704928,731.3348377704928,0.0,0.11813408299349248,301,10,21,10,19
correlated_risk,30,0,0,0,enumeration,optimal,True,629.049345181235,629.049345181235,0.0,0.03836158401099965,89,1,0,0,16
correlated_risk,30,0,0,1,scip,optimal,True,629.049345181235,629.049345181235,0.0,0.7546135840239003,119,0,0,0,0
correlated_risk,30,0,0,2,envelope,optimal,True,629.049345181235,629.049345181235,0.0,0.08693624997977167,384,4,13,6,16
correlated_risk,30,0,0,3,clique,optimal,True,629.049345181235,629.049345181235,0.0,0.08249762500054203,384,4,13,6,16
correlated_risk,30,0,1,0,scip,optimal,True,629.049345181235,629.049345181235,0.0,0.7615857920027338,119,0,0,0,0
correlated_risk,30,0,1,1,envelope,optimal,True,629.049345181235,629.049345181235,0.0,0.08121895798831247,384,4,13,6,16
correlated_risk,30,0,1,2,clique,optimal,True,629.049345181235,629.049345181235,0.0,0.08227074999012984,384,4,13,6,16
correlated_risk,30,0,1,3,enumeration,optimal,True,629.049345181235,629.049345181235,0.0,0.03801658301381394,89,1,0,0,16
correlated_risk,30,1,0,0,scip,optimal,True,621.5917146437994,621.5917146437995,0.0,1.9832512499997392,1632,0,0,0,0
correlated_risk,30,1,0,1,envelope,optimal,True,621.5917146437994,621.5917146437994,0.0,0.1345875840052031,794,4,16,8,17
correlated_risk,30,1,0,2,clique,optimal,True,621.5917146437994,621.5917146437994,0.0,0.12687174999155104,794,4,16,8,17
correlated_risk,30,1,0,3,enumeration,optimal,True,621.5917146437994,621.5917146437994,0.0,0.12537954200524837,794,2,0,0,17
correlated_risk,30,1,1,0,envelope,optimal,True,621.5917146437994,621.5917146437994,0.0,0.12984141701599583,794,4,16,8,17
correlated_risk,30,1,1,1,clique,optimal,True,621.5917146437994,621.5917146437994,0.0,0.12712416698923334,794,4,16,8,17
correlated_risk,30,1,1,2,enumeration,optimal,True,621.5917146437994,621.5917146437994,0.0,0.11647504201391712,794,2,0,0,17
correlated_risk,30,1,1,3,scip,optimal,True,621.5917146437994,621.5917146437995,0.0,1.895782625011634,1632,0,0,0,0
correlated_risk,30,2,0,0,envelope,optimal,True,628.9714370125918,628.9714370125918,0.0,0.3432627090078313,2221,5,16,8,16
correlated_risk,30,2,0,1,clique,optimal,True,628.9714370125918,628.9714370125918,0.0,0.3417128339933697,2221,5,18,9,16
correlated_risk,30,2,0,2,enumeration,optimal,True,628.9714370125918,628.9714370125918,0.0,0.3335508750169538,2221,1,0,0,16
correlated_risk,30,2,0,3,scip,optimal,True,628.9714370125918,628.9714370125918,0.0,2.8242998750065453,3451,0,0,0,0
correlated_risk,30,2,1,0,clique,optimal,True,628.9714370125918,628.9714370125918,0.0,0.3489633330027573,2221,5,18,9,16
