adaptive_speedup,clique_interval_lp_evaluations,clique_interval_matrix_nnz,clique_interval_matrix_storage_bytes,clique_relative_gap,clique_root_bound,clique_seconds,clique_solver_iterations,clique_splits,clique_status,clique_theta_evaluations,clique_theta_fraction,compressed_relative_gap,compressed_root_bound,compressed_seconds,compressed_splits,compressed_status,compressed_theta_evaluations,compressed_theta_fraction,configuration,family,final_lower_bound_relative_difference,gamma,instance,menu_size,n,repeats,seed,theta_count
1.5694895551262598,8,49548,617712,6.042792878505522e-16,9039.690829142493,0.14345624999259599,6215,4,tolerance,12,0.46153846153846156,1.2550880808655969e-12,9030.539885050657,0.09140312499948777,3,tolerance,12,0.46153846153846156,primary,dense_frontier,0.0,18,dense_frontier_n360_m6_g18_s11,6,360,5,11,26
1.5525635950704473,8,49548,617712,1.6141101275911433e-15,9024.408965239647,0.14405745902331546,6593,4,tolerance,12,0.46153846153846156,4.0857162604650815e-13,9015.441375174136,0.092786833003629,3,tolerance,12,0.46153846153846156,primary,dense_frontier,0.0,18,dense_frontier_n360_m6_g18_s12,6,360,5,12,26
1.6188375657523852,8,49538,617592,1.2107766480369535e-15,9022.972553802056,0.14463841600809246,6413,4,tolerance,12,0.46153846153846156,5.706793934414174e-13,9013.996461672978,0.0893470840237569,3,tolerance,12,0.46153846153846156,primary,dense_frontier,0.0,18,dense_frontier_n360_m6_g18_s13,6,360,5,13,26
1.5158252319934022,8,49538,617592,1.4101841100207348e-15,9037.040618930558,0.14439845900051296,6183,4,tolerance,12,0.46153846153846156,1.2526463994441329e-12,9029.26485581356,0.09526062500663102,3,tolerance,12,0.46153846153846156,primary,dense_frontier,0.0,18,dense_frontier_n360_m6_g18_s14,6,360,5,14,26
1.5768300192239961,8,49544,617664,3.4247969890209306e-15,9037.226743233383,0.14551716699497774,6491,4,tolerance,12,0.46153846153846156,1.8131278177169634e-13,9029.095727255144,0.09228462498867884,3,tolerance,12,0.46153846153846156,primary,dense_frontier,0.0,18,dense_frontier_n360_m6_g18_s15,6,360,5,15,26
5.841001835023832,7,87993,1096320,4.8226506774830946e-15,18115.92039756265,0.30115645899786614,11892,3,tolerance,12,0.46153846153846156,1.661805045949383e-13,18104.461054554926,0.051559042010921985,0,tolerance,3,0.11538461538461539,primary,dense_frontier,0.0,26,dense_frontier_n720_m6_g26_s11,6,720,5,11,26
1.831522035154148,8,99084,1235184,3.4183966925702965e-15,18104.150816952984,0.31944400002248585,13311,4,tolerance,12,0.46153846153846156,2.7085766734659937e-13,18092.00197712398,0.1744145000120625,3,tolerance,12,0.46153846153846156,primary,dense_frontier,0.0,26,dense_frontier_n720_m6_g26_s12,6,720,5,12,26
1.7942581009326295,8,99084,1235184,5.021849547814151e-15,18121.80590256014,0.31334945900016464,12889,4,tolerance,12,0.46153846153846156,5.058006864558413e-13,18110.751688474258,0.17464012498385273,3,tolerance,12,0.46153846153846156,primary,dense_frontier,0.0,26,dense_frontier_n720_m6_g26_s13,6,720,5,13,26
1.9048310856503599,8,99076,1235088,3.817537512658116e-15,18118.414548791858,0.32262354201520793,13256,4,tolerance,12,0.46153846153846156,7.036324404909854e-13,18106.330875754105,0.16937120800139382,3,tolerance,12,0.46153846153846156,primary,dense_frontier,0.0,26,dense_frontier_n720_m6_g26_s14,6,720,5,14,26
5.866238318087003,7,87985,1096224,5.020973367580519e-15,18125.436507505914,0.29736866598250344,11641,3,tolerance,12,0.46153846153846156,1.6950806088951832e-13,18113.912088152443,0.05069154198281467,0,tolerance,3,0.11538461538461539,primary,dense_frontier,0.0,26,dense_frontier_n720_m6_g26_s15,6,720,5,15,26
6.63702558174337,7,175980,2192484,0.0,36341.767820485955,0.6595027080038562,23481,3,exact,12,0.46153846153846156,4.866916475785179e-14,36328.088000758595,0.099367208982585,0,tolerance,3,0.11538461538461539,primary,dense_frontier,0.0,37,dense_frontier_n1440_m6_g37_s11,6,1440,5,11,26
