configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9030.539885039323,compressed,360,1.2550880808655969e-12,0,9030.539885050657,0.09114225002122112,11,tolerance,12,9030.539885050657
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9030.539885039323,compressed,360,1.2550880808655969e-12,1,9030.539885050657,0.09085820900509134,11,tolerance,12,9030.539885050657
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9030.539885039323,compressed,360,1.2550880808655969e-12,2,9030.539885050657,0.09232708299532533,11,tolerance,12,9030.539885050657
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9030.539885039323,compressed,360,1.2550880808655969e-12,3,9030.539885050657,0.09214837499894202,11,tolerance,12,9030.539885050657
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9030.539885039323,compressed,360,1.2550880808655969e-12,4,9030.539885050657,0.09140312499948777,11,tolerance,12,9030.539885050657
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9030.539885039323,clique,360,6.042792878505522e-16,0,9039.690829142493,0.14527208299841732,11,tolerance,12,9030.539885039329
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9030.539885039323,clique,360,6.042792878505522e-16,1,9039.690829142493,0.14345624999259599,11,tolerance,12,9030.539885039329
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9030.539885039323,clique,360,6.042792878505522e-16,2,9039.690829142493,0.14233133298694156,11,tolerance,12,9030.539885039329
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9030.539885039323,clique,360,6.042792878505522e-16,3,9039.690829142493,0.14403150000725873,11,tolerance,12,9030.539885039329
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9030.539885039323,clique,360,6.042792878505522e-16,4,9039.690829142493,0.14210208298754878,11,tolerance,12,9030.539885039329
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9015.441375170452,compressed,360,4.0857162604650815e-13,0,9015.441375174136,0.09288845799164847,12,tolerance,12,9015.441375174136
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9015.441375170452,compressed,360,4.0857162604650815e-13,1,9015.441375174136,0.09266166601446457,12,tolerance,12,9015.441375174136
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9015.441375170452,compressed,360,4.0857162604650815e-13,2,9015.441375174136,0.09293833299307153,12,tolerance,12,9015.441375174136
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9015.441375170452,compressed,360,4.0857162604650815e-13,3,9015.441375174136,0.09201091699651442,12,tolerance,12,9015.441375174136
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9015.441375170452,compressed,360,4.0857162604650815e-13,4,9015.441375174136,0.092786833003629,12,tolerance,12,9015.441375174136
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9015.441375170452,clique,360,1.6141101275911433e-15,0,9024.408965239647,0.14405745902331546,12,tolerance,12,9015.441375170467
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9015.441375170452,clique,360,1.6141101275911433e-15,1,9024.408965239647,0.14316841698018834,12,tolerance,12,9015.441375170467
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9015.441375170452,clique,360,1.6141101275911433e-15,2,9024.408965239647,0.14341675001196563,12,tolerance,12,9015.441375170467
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9015.441375170452,clique,360,1.6141101275911433e-15,3,9024.408965239647,0.14716975000919774,12,tolerance,12,9015.441375170467
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s12,4,9015.441375170452,clique,360,1.6141101275911433e-15,4,9024.408965239647,0.1451699169992935,12,tolerance,12,9015.441375170467
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9013.996461667834,compressed,360,5.706793934414174e-13,0,9013.996461672978,0.0893470840237569,13,tolerance,12,9013.996461672978
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9013.996461667834,compressed,360,5.706793934414174e-13,1,9013.996461672978,0.08917416702024639,13,tolerance,12,9013.996461672978
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9013.996461667834,compressed,360,5.706793934414174e-13,2,9013.996461672978,0.08871220800210722,13,tolerance,12,9013.996461672978
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9013.996461667834,compressed,360,5.706793934414174e-13,3,9013.996461672978,0.08953541700611822,13,tolerance,12,9013.996461672978
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,3,9013.996461667834,compressed,360,5.706793934414174e-13,4,9013.996461672978,0.09102395799709484,13,tolerance,12,9013.996461672978
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s13,4,9013.996461667834,clique,360,1.2107766480369535e-15,0,9022.972553802056,0.14500658298493363,13,tolerance,12,9013.996461667844
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,4,9013.996461667834,clique,360,1.2107766480369535e-15,1,9022.972553802056,0.14517524998518638,13,tolerance,12,9013.996461667844
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s13,4,9013.996461667834,clique,360,1.2107766480369535e-15,2,9022.972553802056,0.14427874999819323,13,tolerance,12,9013.996461667844
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s13,4,9013.996461667834,clique,360,1.2107766480369535e-15,3,9022.972553802056,0.14463841600809246,13,tolerance,12,9013.996461667844
