configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18255.709639066656,compressed,720,2.8297612134536265e-14,0,18255.709639067172,0.050671958015300333,31,tolerance,3,18255.709639067172
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18255.709639066656,compressed,720,2.8297612134536265e-14,1,18255.709639067172,0.05063520901603624,31,tolerance,3,18255.709639067172
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18255.709639066656,compressed,720,2.8297612134536265e-14,2,18255.709639067172,0.050194666982861236,31,tolerance,3,18255.709639067172
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18255.709639066656,clique,720,5.380531884735768e-15,0,18255.709639066754,0.059667374996934086,31,tolerance,3,18255.709639066754
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18255.709639066656,clique,720,5.380531884735768e-15,1,18255.709639066754,0.05854845899739303,31,tolerance,3,18255.709639066754
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18255.709639066656,clique,720,5.380531884735768e-15,2,18255.709639066754,0.058269458007998765,31,tolerance,3,18255.709639066754
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18263.20882190143,compressed,720,8.692962813363556e-13,0,18263.208821917306,0.050190625013783574,32,tolerance,3,18263.208821917306
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18263.20882190143,compressed,720,8.692962813363556e-13,1,18263.208821917306,0.04975787500734441,32,tolerance,3,18263.208821917306
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18263.20882190143,compressed,720,8.692962813363556e-13,2,18263.208821917306,0.04970345800393261,32,tolerance,3,18263.208821917306
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18263.20882190143,clique,720,2.5895627079222324e-15,0,18263.208821901477,0.05613816701225005,32,tolerance,3,18263.208821901477
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18263.20882190143,clique,720,2.5895627079222324e-15,1,18263.208821901477,0.05582345899892971,32,tolerance,3,18263.208821901477
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18263.20882190143,clique,720,2.5895627079222324e-15,2,18263.208821901477,0.055643458996200934,32,tolerance,3,18263.208821901477
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s33,0,18249.013763584448,compressed,720,8.5302753985582e-13,0,18249.013763600014,0.049420957977417856,33,tolerance,3,18249.013763600014
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s33,0,18249.013763584448,compressed,720,8.5302753985582e-13,1,18249.013763600014,0.04919554200023413,33,tolerance,3,18249.013763600014
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s33,0,18249.013763584448,compressed,720,8.5302753985582e-13,2,18249.013763600014,0.048950958997011185,33,tolerance,3,18249.013763600014
