configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
stress,second,dense_frontier,dense_frontier_n2880_m6_g53_s41,0,72746.13763409681,compressed,2880,2.060380547020632e-14,0,72746.13763409831,0.21331091699539684,41,tolerance,3,72746.13763409831
stress,first,dense_frontier,dense_frontier_n2880_m6_g53_s41,0,72746.13763409681,compressed,2880,2.060380547020632e-14,1,72746.13763409831,0.20872170900111087,41,tolerance,3,72746.13763409831
stress,first,dense_frontier,dense_frontier_n2880_m6_g53_s41,2,72746.13763409681,clique,2880,0.0,0,72758.88242803396,1.3991924590081908,41,exact,9,72746.13763409681
stress,second,dense_frontier,dense_frontier_n2880_m6_g53_s41,2,72746.13763409681,clique,2880,0.0,1,72758.88242803396,1.3091937080025673,41,exact,9,72746.13763409681
stress,second,dense_frontier,dense_frontier_n5760_m6_g75_s41,0,145698.38731104403,compressed,5760,2.0534707529500834e-13,0,145698.38731107395,0.41185654199216515,41,tolerance,3,145698.38731107395
stress,first,dense_frontier,dense_frontier_n5760_m6_g75_s41,0,145698.38731104403,compressed,5760,2.0534707529500834e-13,1,145698.38731107395,0.39094174999627285,41,tolerance,3,145698.38731107395
stress,first,dense_frontier,dense_frontier_n5760_m6_g75_s41,2,145698.38731104403,clique,5760,2.1373674179538806e-14,0,145707.22597288195,3.402290416008327,41,tolerance,9,145698.38731104715
stress,second,dense_frontier,dense_frontier_n5760_m6_g75_s41,2,145698.38731104403,clique,5760,2.1373674179538806e-14,1,145707.22597288195,3.3046064999944065,41,tolerance,9,145698.38731104715
stress,second,correlated_risk,correlated_risk_n2880_m6_g53_s41,2,62696.00811482809,compressed,2880,4.0873292395617924e-13,0,62696.334287394464,0.47863266698550433,41,tolerance,9,62696.008114853714
stress,first,correlated_risk,correlated_risk_n2880_m6_g53_s41,2,62696.00811482809,compressed,2880,4.0873292395617924e-13,1,62696.334287394464,0.4737621670064982,41,tolerance,9,62696.008114853714
stress,first,correlated_risk,correlated_risk_n2880_m6_g53_s41,4,62696.00811482809,clique,2880,0.0,0,62815.57175178822,2.9469166669878177,41,exact,12,62696.00811482809
stress,second,correlated_risk,correlated_risk_n2880_m6_g53_s41,4,62696.00811482809,clique,2880,0.0,1,62815.57175178822,2.9504918750026263,41,exact,12,62696.00811482809
stress,second,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125682.72991304166,compressed,5760,5.608525325236e-13,0,125682.8156040725,1.26198537502205,41,tolerance,12,125682.72991311215
stress,first,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125682.72991304166,compressed,5760,5.608525325236e-13,1,125682.8156040725,1.248447458987357,41,tolerance,12,125682.72991311215
stress,first,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125682.72991304166,clique,5760,3.404018260981387e-14,0,125832.1727755029,7.485254208993865,41,tolerance,12,125682.72991304594
stress,second,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125682.72991304166,clique,5760,3.404018260981387e-14,1,125832.1727755029,7.452949375001481,41,tolerance,12,125682.72991304594
stress,second,near_tie,near_tie_n2880_m6_g53_s41,0,53424.41846665606,compressed,2880,8.935531593376546e-13,0,53424.4184667038,0.1830602920090314,41,tolerance,3,53424.4184667038
stress,first,near_tie,near_tie_n2880_m6_g53_s41,0,53424.41846665606,compressed,2880,8.935531593376546e-13,1,53424.4184667038,0.18463833298301324,41,tolerance,3,53424.4184667038
stress,first,near_tie,near_tie_n2880_m6_g53_s41,2,53424.41846665606,clique,2880,2.369734030250753e-14,0,53440.40081934984,1.1207625420065597,41,tolerance,9,53424.41846665733
stress,second,near_tie,near_tie_n2880_m6_g53_s41,2,53424.41846665606,clique,2880,2.369734030250753e-14,1,53440.40081934984,1.1219174999860115,41,tolerance,9,53424.41846665733
stress,second,near_tie,near_tie_n5760_m6_g75_s41,0,107025.71293839485,compressed,5760,2.2855974351663636e-13,0,107025.71293841931,0.37167299998691306,41,tolerance,3,107025.71293841931
stress,first,near_tie,near_tie_n5760_m6_g75_s41,0,107025.71293839485,compressed,5760,2.2855974351663636e-13,1,107025.71293841931,0.37166529201203957,41,tolerance,3,107025.71293841931
stress,first,near_tie,near_tie_n5760_m6_g75_s41,2,107025.71293839485,clique,5760,0.0,0,107040.6620649949,3.1013036250078585,41,exact,9,107025.71293839485
stress,second,near_tie,near_tie_n5760_m6_g75_s41,2,107025.71293839485,clique,5760,0.0,1,107040.6620649949,3.09996212500846,41,exact,9,107025.71293839485
stress,second,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64175.84434217485,compressed,2880,3.1665730033970637e-13,0,64175.84434219445,1.87155416700989,41,tolerance,30,64175.844342195174
stress,first,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64175.84434217485,compressed,2880,3.1665730033970637e-13,1,64175.84434219445,1.8709069580072537,41,tolerance,30,64175.844342195174
stress,first,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64175.84434217485,clique,2880,1.9500556984758144e-14,0,64872.72227326447,4.815464832994621,41,tolerance,30,64175.844342176104
stress,second,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64175.84434217485,clique,2880,1.9500556984758144e-14,1,64872.72227326447,4.8196228749875445,41,tolerance,30,64175.844342176104
stress,second,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123820.98724745573,compressed,5760,7.055279911420038e-07,0,123821.07460663842,3.7550475829921197,41,tolerance,30,123821.07460662813
stress,first,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123820.98724745573,compressed,5760,7.055279911420038e-07,1,123821.07460663842,3.883129583002301,41,tolerance,30,123821.07460662813
stress,first,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123820.98724745573,clique,5760,7.055278281364675e-07,0,126784.52470719977,17.64200529200025,41,tolerance,30,123821.07460660794
