configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
application,second,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221075,compressed,360,2.8841001214941735e-14,0,6748.443465221269,0.184073334000459,61,tolerance,18,6748.443465221269
application,first,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221075,compressed,360,2.8841001214941735e-14,1,6748.443465221269,0.19031391699991218,61,tolerance,18,6748.443465221269
application,second,uci_online_retail,uci_online_retail_n360_s61,5,6748.443465221075,compressed,360,2.8841001214941735e-14,2,6748.443465221269,0.18511949999992794,61,tolerance,18,6748.443465221269
application,first,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221075,clique,360,9.648210407356343e-07,0,6748.873219664619,0.3019619579999926,61,tolerance,27,6748.449976261322
application,second,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221075,clique,360,9.648210407356343e-07,1,6748.873219664619,0.3111154580001312,61,tolerance,27,6748.449976261322
application,first,uci_online_retail,uci_online_retail_n360_s61,8,6748.443465221075,clique,360,9.648210407356343e-07,2,6748.873219664619,0.30632883299949754,61,tolerance,27,6748.449976261322
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,compressed,360,2.873280316408734e-12,0,6943.205805699952,0.30582454100022005,62,tolerance,30,6943.202224132934
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,compressed,360,2.873280316408734e-12,1,6943.205805699952,0.305183708000186,62,tolerance,30,6943.202224132934
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,compressed,360,2.873280316408734e-12,2,6943.205805699952,0.3026458749991434,62,tolerance,30,6943.202224132934
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,clique,360,6.241588752347321e-08,0,6944.581746937854,0.3214045000004262,62,tolerance,30,6943.202657479113
application,first,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,clique,360,6.241588752347321e-08,1,6944.581746937854,0.31930916600049386,62,tolerance,30,6943.202657479113
application,second,uci_online_retail,uci_online_retail_n360_s62,9,6943.202224112984,clique,360,6.241588752347321e-08,2,6944.581746937854,0.3228705000001355,62,tolerance,30,6943.202657479113
application,second,uci_online_retail,uci_online_retail_n360_s63,7,7207.114304003445,compressed,360,4.422204655979947e-07,0,7207.117491136888,0.23727408300055686,63,tolerance,24,7207.117491136888
application,first,uci_online_retail,uci_online_retail_n360_s63,7,7207.114304003445,compressed,360,4.422204655979947e-07,1,7207.117491136888,0.23739049999949202,63,tolerance,24,7207.117491136888
application,second,uci_online_retail,uci_online_retail_n360_s63,7,7207.114304003445,compressed,360,4.422204655979947e-07,2,7207.117491136888,0.23814641599983588,63,tolerance,24,7207.117491136888
application,first,uci_online_retail,uci_online_retail_n360_s63,8,7207.117491134586,clique,360,0.0,0,7208.359175273916,0.2908427920001486,63,exact,27,7207.117491134586
application,second,uci_online_retail,uci_online_retail_n360_s63,8,7207.117491134586,clique,360,0.0,1,7208.359175273916,0.30055329100014205,63,exact,27,7207.117491134586
application,first,uci_online_retail,uci_online_retail_n360_s63,8,7207.117491134586,clique,360,0.0,2,7208.359175273916,0.2920594160004839,63,exact,27,7207.117491134586
application,second,uci_online_retail,uci_online_retail_n720_s61,6,13894.621510162791,compressed,720,6.953147958374298e-08,0,13894.622476276383,0.4262648750000153,61,tolerance,21,13894.622476276383
application,first,uci_online_retail,uci_online_retail_n720_s61,6,13894.621510162791,compressed,720,6.953147958374298e-08,1,13894.622476276383,0.4216049999995448,61,tolerance,21,13894.622476276383
application,second,uci_online_retail,uci_online_retail_n720_s61,6,13894.621510162791,compressed,720,6.953147958374298e-08,2,13894.622476276383,0.4165601249997053,61,tolerance,21,13894.622476276383
application,first,uci_online_retail,uci_online_retail_n720_s61,8,13894.622370547204,clique,720,7.905178325496999e-07,0,13895.70652667129,0.6408489579998786,61,tolerance,27,13894.633354493964
application,second,uci_online_retail,uci_online_retail_n720_s61,8,13894.622370547204,clique,720,7.905178325496999e-07,1,13895.70652667129,0.6203265829999509,61,tolerance,27,13894.633354493964
application,first,uci_online_retail,uci_online_retail_n720_s61,8,13894.622370547204,clique,720,7.905178325496999e-07,2,13895.70652667129,0.6226640829991084,61,tolerance,27,13894.633354493964
application,first,uci_online_retail,uci_online_retail_n720_s62,6,13925.319701949302,compressed,720,3.098787170669401e-08,0,13925.320133463243,0.4256758749997971,62,tolerance,21,13925.320133465322
application,second,uci_online_retail,uci_online_retail_n720_s62,6,13925.319701949302,compressed,720,3.098787170669401e-08,1,13925.320133463243,0.41860320800060435,62,tolerance,21,13925.320133465322
application,first,uci_online_retail,uci_online_retail_n720_s62,6,13925.319701949302,compressed,720,3.098787170669401e-08,2,13925.320133463243,0.41955329200027336,62,tolerance,21,13925.320133465322
application,second,uci_online_retail,uci_online_retail_n720_s62,9,13925.319701949302,clique,720,8.097049068949655e-07,0,13927.373424939877,0.7330969169997843,62,tolerance,30,13925.330977348995
application,first,uci_online_retail,uci_online_retail_n720_s62,9,13925.319701949302,clique,720,8.097049068949655e-07,1,13927.373424939877,0.7381216659996426,62,tolerance,30,13925.330977348995
application,second,uci_online_retail,uci_online_retail_n720_s62,9,13925.319701949302,clique,720,8.097049068949655e-07,2,13927.373424939877,0.712458666999737,62,tolerance,30,13925.330977348995
application,second,uci_online_retail,uci_online_retail_n720_s63,8,13541.283349035602,compressed,720,8.545119770631087e-08,0,13541.284506154483,0.5383587919995989,63,tolerance,27,13541.284506154483
application,first,uci_online_retail,uci_online_retail_n720_s63,8,13541.283349035602,compressed,720,8.545119770631087e-08,1,13541.284506154483,0.5734406669998862,63,tolerance,27,13541.284506154483
application,second,uci_online_retail,uci_online_retail_n720_s63,8,13541.283349035602,compressed,720,8.545119770631087e-08,2,13541.284506154483,0.534642208999685,63,tolerance,27,13541.284506154483
application,first,uci_online_retail,uci_online_retail_n720_s63,9,13541.284506151373,clique,720,3.850851140957023e-07,0,13543.72941411399,0.7222514169998249,63,tolerance,30,13541.289720698462
application,second,uci_online_retail,uci_online_retail_n720_s63,9,13541.284506151373,clique,720,3.850851140957023e-07,1,13543.72941411399,0.7192361249999522,63,tolerance,30,13541.289720698462
application,first,uci_online_retail,uci_online_retail_n720_s63,9,13541.284506151373,clique,720,3.850851140957023e-07,2,13543.72941411399,0.7332431659997383,63,tolerance,30,13541.289720698462
application,second,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815024,compressed,1440,4.8868763265355825e-14,0,29405.32014281646,1.2438784169999053,61,tolerance,30,29405.32014281646
application,first,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815024,compressed,1440,4.8868763265355825e-14,1,29405.32014281646,1.3096992090004278,61,tolerance,30,29405.32014281646
application,second,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815024,compressed,1440,4.8868763265355825e-14,2,29405.32014281646,1.2515405000003739,61,tolerance,30,29405.32014281646
application,first,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815024,clique,1440,5.072453908555921e-15,0,29408.54021460091,1.4270847910001976,61,tolerance,30,29405.320142815173
application,second,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815024,clique,1440,5.072453908555921e-15,1,29408.54021460091,1.4393577920000098,61,tolerance,30,29405.320142815173
application,first,uci_online_retail,uci_online_retail_n1440_s61,9,29405.320142815024,clique,1440,5.072453908555921e-15,2,29408.54021460091,1.4347641660006047,61,tolerance,30,29405.320142815173
application,first,uci_online_retail,uci_online_retail_n1440_s62,8,28573.741507375194,compressed,1440,4.379771929120772e-14,0,28573.741507376446,1.1310229579994484,62,tolerance,27,28573.741507376446
application,second,uci_online_retail,uci_online_retail_n1440_s62,8,28573.741507375194,compressed,1440,4.379771929120772e-14,1,28573.741507376446,1.147482958999717,62,tolerance,27,28573.741507376446
application,first,uci_online_retail,uci_online_retail_n1440_s62,8,28573.741507375194,compressed,1440,4.379771929120772e-14,2,28573.741507376446,1.107835167000303,62,tolerance,27,28573.741507376446
application,second,uci_online_retail,uci_online_retail_n1440_s62,10,28573.741507375194,clique,1440,0.0,0,28576.996070012443,1.5956886249996387,62,tolerance,33,28573.741507375194
application,first,uci_online_retail,uci_online_retail_n1440_s62,10,28573.741507375194,clique,1440,0.0,1,28576.996070012443,1.5846069579993127,62,tolerance,33,28573.741507375194
application,second,uci_online_retail,uci_online_retail_n1440_s62,10,28573.741507375194,clique,1440,0.0,2,28576.996070012443,1.5706282080000165,62,tolerance,33,28573.741507375194
application,second,uci_online_retail,uci_online_retail_n1440_s63,4,27117.57763426147,compressed,1440,8.867131506579277e-07,0,27117.601679774172,0.6074331250001705,63,tolerance,15,27117.601679774172
application,first,uci_online_retail,uci_online_retail_n1440_s63,4,27117.57763426147,compressed,1440,8.867131506579277e-07,1,27117.601679774172,0.6101133749998553,63,tolerance,15,27117.601679774172
application,second,uci_online_retail,uci_online_retail_n1440_s63,4,27117.57763426147,compressed,1440,8.867131506579277e-07,2,27117.601679774172,0.6087767920007536,63,tolerance,15,27117.601679774172
application,first,uci_online_retail,uci_online_retail_n1440_s63,13,27117.5924265673,clique,1440,8.379104767310569e-07,0,27122.5779654825,2.0460689589999674,63,tolerance,42,27117.615148682096
application,second,uci_online_retail,uci_online_retail_n1440_s63,13,27117.5924265673,clique,1440,8.379104767310569e-07,1,27122.5779654825,2.049986125000032,63,tolerance,42,27117.615148682096
application,first,uci_online_retail,uci_online_retail_n1440_s63,13,27117.5924265673,clique,1440,8.379104767310569e-07,2,27122.5779654825,2.009899540999868,63,tolerance,42,27117.615148682096
