family,instance,method,n,repeat,seconds,seed
dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,0,0.04700783299995237,51
dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,1,0.046611667000433954,51
dense_frontier,dense_frontier_n360_m6_g18_s51,compressed,360,2,0.04617166699972586,51
dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,0,0.08695783399980428,51
dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,1,0.08506424999995943,51
dense_frontier,dense_frontier_n360_m6_g18_s51,clique,360,2,0.08449416700022994,51
dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,0,0.04696870800034958,52
dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,1,0.04594495899982576,52
dense_frontier,dense_frontier_n360_m6_g18_s52,compressed,360,2,0.04548475000046892,52
dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,0,0.0855654160004633,52
dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,1,0.08580179099953966,52
dense_frontier,dense_frontier_n360_m6_g18_s52,clique,360,2,0.08556941700044263,52
dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,0,0.08364358400012861,51
dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,1,0.0833762909996949,51
dense_frontier,dense_frontier_n720_m6_g26_s51,compressed,720,2,0.08314495800004806,51
dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,0,0.19815004100018996,51
dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,1,0.19863483300014195,51
dense_frontier,dense_frontier_n720_m6_g26_s51,clique,720,2,0.19800991700049053,51
dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,0,0.08348404100070184,52
dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,1,0.0836105829994267,52
dense_frontier,dense_frontier_n720_m6_g26_s52,compressed,720,2,0.08368350000000646,52
dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,0,0.1963071250002031,52
dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,1,0.19614854200062837,52
dense_frontier,dense_frontier_n720_m6_g26_s52,clique,720,2,0.19675354100036202,52
dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,0,0.1663772499996412,51
dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,1,0.16036404099941137,51
dense_frontier,dense_frontier_n1440_m6_g37_s51,compressed,1440,2,0.15856929100027628,51
dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,0,0.4857532080004603,51
dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,1,0.5013326250000318,51
dense_frontier,dense_frontier_n1440_m6_g37_s51,clique,1440,2,0.48837591699975746,51
dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,0,0.15874991599957866,52
dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,1,0.15992924999954994,52
dense_frontier,dense_frontier_n1440_m6_g37_s52,compressed,1440,2,0.156961083999704,52
dense_frontier,dense_frontier_n1440_m6_g37_s52,clique,1440,0,0.4784533749998445,52
dense_frontier,dense_frontier_n1440_m6_g37_s52,clique,1440,1,0.5077822920002291,52
dense_frontier,dense_frontier_n1440_m6_g37_s52,clique,1440,2,0.48347641700001986,52
correlated_risk,correlated_risk_n360_m6_g18_s51,compressed,360,0,0.04583241700038343,51
correlated_risk,correlated_risk_n360_m6_g18_s51,compressed,360,1,0.04593637499965553,51
correlated_risk,correlated_risk_n360_m6_g18_s51,compressed,360,2,0.045188541999777954,51
correlated_risk,correlated_risk_n360_m6_g18_s51,clique,360,0,0.12131475000023784,51
correlated_risk,correlated_risk_n360_m6_g18_s51,clique,360,1,0.12889604100018914,51
correlated_risk,correlated_risk_n360_m6_g18_s51,clique,360,2,0.12511025000003428,51
correlated_risk,correlated_risk_n360_m6_g18_s52,compressed,360,0,0.04488783299984789,52
correlated_risk,correlated_risk_n360_m6_g18_s52,compressed,360,1,0.044912500000464206,52
correlated_risk,correlated_risk_n360_m6_g18_s52,compressed,360,2,0.04456874999959837,52
correlated_risk,correlated_risk_n360_m6_g18_s52,clique,360,0,0.11752366600012465,52
correlated_risk,correlated_risk_n360_m6_g18_s52,clique,360,1,0.11721045900048921,52
correlated_risk,correlated_risk_n360_m6_g18_s52,clique,360,2,0.12729304200001934,52
correlated_risk,correlated_risk_n720_m6_g26_s51,compressed,720,0,0.08777766700040956,51
