family,groups,seed,envelope_seconds,envelope_status,envelope_certified,envelope_objective,envelope_upper_bound,envelope_relative_gap,envelope_nodes,envelope_theta_integer_solves,envelope_interval_bound_evaluations,envelope_interval_splits,envelope_thresholds_covered_by_prunes,clique_seconds,clique_status,clique_certified,clique_objective,clique_upper_bound,clique_relative_gap,clique_nodes,clique_theta_integer_solves,clique_interval_bound_evaluations,clique_interval_splits,clique_thresholds_covered_by_prunes,enumeration_seconds,enumeration_status,enumeration_certified,enumeration_objective,enumeration_upper_bound,enumeration_relative_gap,enumeration_nodes,enumeration_theta_integer_solves,enumeration_interval_bound_evaluations,enumeration_interval_splits,enumeration_thresholds_covered_by_prunes,scip_seconds,scip_status,scip_certified,scip_objective,scip_upper_bound,scip_relative_gap,scip_nodes,scip_theta_integer_solves,scip_interval_bound_evaluations,scip_interval_splits,scip_thresholds_covered_by_prunes,clique_over_envelope_speedup,enumeration_over_envelope_speedup,scip_over_envelope_speedup,maximum_certified_objective_difference
dense_frontier,30,0,0.06541185400010363,optimal,True,732.3416010978427,732.3416010978427,0.0,90,6,11,5,23,0.06282527050007047,optimal,True,732.3416010978427,732.3416010978427,0.0,90,6,11,5,23,0.06376339550070043,optimal,True,732.3416010978427,732.3416010978427,0.0,90,3,0,0,23,0.06223864599996887,optimal,True,732.3416010978427,732.3416010978427,0.0,1,0,0,0,0,0.9604569609045318,0.9747987803647854,0.9514887928397544,0.0
dense_frontier,30,1,0.06162875000018175,optimal,True,731.600839350222,731.600839350222,0.0,60,5,11,5,24,0.055450833499889995,optimal,True,731.600839350222,731.600839350222,0.0,60,5,11,5,24,0.055103708500155335,optimal,True,731.600839350222,731.600839350222,0.0,60,2,0,0,24,0.020262042000013025,optimal,True,731.600839350222,731.600839350222,0.0,1,0,0,0,0,0.8997559337115626,0.8941234164248476,0.3287758067452815,0.0
dense_frontier,30,2,0.0948025829998187,optimal,True,729.9722532955037,729.9722532955037,0.0,177,8,19,9,21,0.09281079149968718,optimal,True,729.9722532955037,729.9722532955037,0.0,177,8,19,9,21,0.0779170000000704,optimal,True,729.9722532955037,729.9722532955037,0.0,177,4,0,0,21,0.16312804150038573,optimal,True,729.9722532955037,729.9722532955037,0.0,0,0,0,0,0,0.9789901135907307,0.8218868888859222,1.7207130474567103,0.0
correlated_risk,30,0,1.8925390839999636,optimal,True,625.3359259271575,625.3359259271575,0.0,15250,4,16,8,20,1.863461562500106,optimal,True,625.3359259271575,625.3359259271575,0.0,15250,4,16,8,20,0.7642394375006916,optimal,True,625.3359259271575,625.3359259271575,0.0,6130,1,0,0,20,4.592995625500407,optimal,True,625.3359259271575,625.3359259271575,0.0,11491,0,0,0,0,0.9846357088497211,0.40381699060367,2.4268960489803524,0.0
correlated_risk,30,1,0.18879902100024992,optimal,True,631.8331448419336,631.8331448419336,0.0,1170,4,9,4,15,0.18045683349964747,optimal,True,631.8331448419336,631.8331448419336,0.0,1170,4,11,5,15,0.05024664600023243,optimal,True,631.8331448419336,631.8331448419336,0.0,166,1,0,0,15,0.7129258125000888,optimal,True,631.8331448419336,631.8331448419337,0.0,75,0,0,0,0,0.9558144557296651,0.26613827621577507,3.7761096891447603,0.0
correlated_risk,30,2,0.26476418750007724,optimal,True,629.6610215931211,629.6610215931211,0.0,2001,3,8,4,17,0.26252281300003233,optimal,True,629.6610215931211,629.6610215931211,0.0,2001,3,8,4,17,0.2704001249999237,optimal,True,629.6610215931211,629.6610215931211,0.0,2001,1,0,0,17,1.4047870829999738,optimal,True,629.6610215931211,629.6610215931211,0.0,1334,0,0,0,0,0.9915344498770466,1.021286630767784,5.305804747477655,0.0
near_tie,30,0,0.08125079149976955,optimal,True,528.7264751809771,528.7264751809771,0.0,138,8,22,11,20,0.07618097900058274,optimal,True,528.7264751809771,528.7264751809771,0.0,138,8,22,11,20,0.059706229500079644,optimal,True,528.7264751809771,528.7264751809771,0.0,138,3,0,0,20,1.6980655835004654,optimal,True,528.7264751809771,528.7264751809771,0.0,27,0,0,0,0,0.9376029155457373,0.7348387430816472,20.899065131018222,0.0
near_tie,30,1,0.12490187550019982,optimal,True,526.740624444015,526.740624444015,0.0,619,6,18,9,22,0.12071950050039959,optimal,True,526.740624444015,526.740624444015,0.0,619,6,18,9,22,0.07683395799995196,optimal,True,526.740624444015,526.740624444015,0.0,305,1,0,0,22,1.156124833499689,optimal,True,526.740624444015,526.740624444015,0.0,806,0,0,0,0,0.966514714186229,0.6151545578659389,9.256264798824732,0.0
near_tie,30,2,0.17970074999993813,optimal,True,528.66922455503,528.66922455503,0.0,1233,6,18,9,22,0.1835910834997776,optimal,True,528.66922455503,528.66922455503,0.0,1233,6,18,9,22,0.066352625500258,optimal,True,528.66922455503,528.66922455503,0.0,216,2,0,0,22,1.1088369170001897,optimal,True,528.66922455503,528.66922455503,0.0,269,0,0,0,0,1.0216489552761512,0.3692395579889391,6.170463489999744,0.0
many_breakpoints,30,0,0.5788904794999326,optimal,True,714.2396605336495,714.2396605336495,0.0,1952,34,73,36,120,0.5647820629997113,optimal,True,714.2396605336495,714.2396605336495,0.0,1952,34,73,36,120,0.5628946245001316,optimal,True,714.2396605336495,714.2396605336496,0.0,1952,31,0,0,120,0.005724312500205997,optimal,True,714.2396605336496,714.2396605336495,0.0,1,0,0,0,0,0.9756285221473868,0.9723680807229396,0.009888420526713229,1.1368683772161603e-13
many_breakpoints,30,1,0.5984999379998044,optimal,True,711.1729335234375,711.1729335234375,0.0,1470,49,103,51,105,0.5728886245001377,optimal,True,711.1729335234375,711.1729335234375,0.0,1470,49,103,51,105,0.5286774579994926,optimal,True,711.1729335234375,711.1729335234375,0.0,1470,12,0,0,105,0.004746562500258733,optimal,True,711.1729335234375,711.1729335234376,0.0,1,0,0,0,0,0.9572074918081694,0.8833375317737551,0.007930765233028787,0.0
many_breakpoints,30,2,5.008784854000169,time_limit,False,707.3475634685924,713.2673186633164,0.008368948308375434,46359,2,1,0,0,5.00910133349953,time_limit,False,707.3475634685924,713.2673186632996,0.008368948308351809,46356,2,1,0,0,0.5581999375003761,optimal,True,712.9574507822524,712.9574507822524,0.0,1724,12,0,0,105,0.0368747710003845,optimal,True,712.9574507822524,712.9574507822524,0.0,64,0,0,0,0,1.0000631848858728,0.1114441833241411,0.007362019347054841,0.0
