construct_seconds,family,instance,method,n,query_seconds,repeat,seed,total_seconds
0.0020970830000806018,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.0005234589998508454,0,21,0.0026469169997653808
0.012126083999646653,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.0019949590005126083,0,21,0.01413841700014018
0.011602292000134184,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.002071875000183354,1,21,0.013691707999896607
0.0020092920003662584,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.00046466700041492004,1,21,0.002501707999726932
0.001871749999736494,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.0004989999997633277,2,21,0.002391874999375432
0.011678875000143307,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.00209158299912815,2,21,0.013791291999950772
0.012177499999779684,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.0021815000000060536,3,21,0.014374375000443251
0.001944250000633474,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.0005462079998324043,3,21,0.0025117499999396387
0.0018867090002459008,dense_frontier,dense_frontier_n90_m6_g9_s21,compressed,90,0.000511999999616819,4,21,0.002421166999738489
0.011803874999714026,dense_frontier,dense_frontier_n90_m6_g9_s21,dense,90,0.002079625000078522,4,21,0.01389941599973099
0.011944999999286665,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.002125750000232074,0,22,0.014087624999774562
0.001863749999756692,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.00047974999961297726,0,22,0.002365291999922192
0.0018622919997142162,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.0004905830001007416,1,22,0.002373291000367317
0.011668709000332456,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.0020728339995912393,1,22,0.013755957999819657
0.011719790999450197,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.0021605829997497494,2,22,0.013897457999519247
0.0018182080002588918,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.0004835420004383195,2,22,0.0023249590003615594
0.0018065419999402366,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.0004850830000577844,3,22,0.0023119999996197294
0.012976083000467042,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.0021345840004869387,3,22,0.01512629199987714
0.011465041999144887,dense_frontier,dense_frontier_n90_m6_g9_s22,dense,90,0.0020725839995066053,4,22,0.013553834000049392
0.0018390839995845454,dense_frontier,dense_frontier_n90_m6_g9_s22,compressed,90,0.00046225000005506445,4,22,0.0023226250004881877
0.0018734579998636036,dense_frontier,dense_frontier_n90_m6_g9_s23,compressed,90,0.0004761670006701024,0,23,0.002373334000367322
0.011778875000345579,dense_frontier,dense_frontier_n90_m6_g9_s23,dense,90,0.00211654200029443,0,23,0.013912583000092127
0.011802750000242668,dense_frontier,dense_frontier_n90_m6_g9_s23,dense,90,0.002105041999129753,1,23,0.013925291999839828
0.0018859170004361658,dense_frontier,dense_frontier_n90_m6_g9_s23,compressed,90,0.0004772909996972885,1,23,0.0023843330000090646
0.0018595419996927376,dense_frontier,dense_frontier_n90_m6_g9_s23,compressed,90,0.0004689170000347076,2,23,0.002349250000406755
0.011649375000160944,dense_frontier,dense_frontier_n90_m6_g9_s23,dense,90,0.0020334170003479812,2,23,0.013698875000045518
0.011641709000286937,dense_frontier,dense_frontier_n90_m6_g9_s23,dense,90,0.002029666999987967,3,23,0.013689458000044397
0.001930458000060753,dense_frontier,dense_frontier_n90_m6_g9_s23,compressed,90,0.0004535409998425166,3,23,0.002406041999165609
0.0018107920004695188,dense_frontier,dense_frontier_n90_m6_g9_s23,compressed,90,0.0004742500004795147,4,23,0.002306207999936305
0.011643832999652659,dense_frontier,dense_frontier_n90_m6_g9_s23,dense,90,0.002029624999522639,4,23,0.01368941700002324
0.0036628749994633836,dense_frontier,dense_frontier_n180_m6_g13_s21,compressed,180,0.0007541670001955936,0,21,0.004453417000149784
0.02309916699960013,dense_frontier,dense_frontier_n180_m6_g13_s21,dense,180,0.004018916999484645,0,21,0.027144165999743564
0.022628749999967113,dense_frontier,dense_frontier_n180_m6_g13_s21,dense,180,0.0040820840004016645,1,21,0.026736791000075755
0.0034538749996499973,dense_frontier,dense_frontier_n180_m6_g13_s21,compressed,180,0.0007333330004257732,1,21,0.004222874999868509
0.003487416999632842,dense_frontier,dense_frontier_n180_m6_g13_s21,compressed,180,0.0007043340001473553,2,21,0.004226416000165045
0.023108249999495456,dense_frontier,dense_frontier_n180_m6_g13_s21,dense,180,0.0040831249998518615,2,21,0.02721845799987932
0.023105165999368182,dense_frontier,dense_frontier_n180_m6_g13_s21,dense,180,0.004013665999991645,3,21,0.027146250000441796
0.003516957999636361,dense_frontier,dense_frontier_n180_m6_g13_s21,compressed,180,0.0007627079994563246,3,21,0.004315083999244962
0.003388166999684472,dense_frontier,dense_frontier_n180_m6_g13_s21,compressed,180,0.0008563339997635921,4,21,0.004281415999685123
0.023010292000435584,dense_frontier,dense_frontier_n180_m6_g13_s21,dense,180,0.004081209000105446,4,21,0.027118417000565387
0.022789665999880526,dense_frontier,dense_frontier_n180_m6_g13_s22,dense,180,0.004101665999769466,0,22,0.02691779100041458
0.0034689169997363933,dense_frontier,dense_frontier_n180_m6_g13_s22,compressed,180,0.0007888749996709521,0,22,0.0042945839995809365
0.0035117090001222095,dense_frontier,dense_frontier_n180_m6_g13_s22,compressed,180,0.0007645839996257564,1,22,0.004311792000407877
0.023171792000539426,dense_frontier,dense_frontier_n180_m6_g13_s22,dense,180,0.004053167000165558,1,22,0.02725033299975621
0.023371874999611464,dense_frontier,dense_frontier_n180_m6_g13_s22,dense,180,0.003956834000746312,2,22,0.027353999999832013
0.003454749999946216,dense_frontier,dense_frontier_n180_m6_g13_s22,compressed,180,0.0007525410001107957,2,22,0.004244583000399871
0.0035061250000580912,dense_frontier,dense_frontier_n180_m6_g13_s22,compressed,180,0.0007974159998411778,3,22,0.004340708000199811
0.023204125000120257,dense_frontier,dense_frontier_n180_m6_g13_s22,dense,180,0.0040741250004430185,3,22,0.027309832999890205
0.023317041999689536,dense_frontier,dense_frontier_n180_m6_g13_s22,dense,180,0.004155417000220041,4,22,0.02749725000012404
0.003492625000035332,dense_frontier,dense_frontier_n180_m6_g13_s22,compressed,180,0.0007283749991984223,4,22,0.0042558329996609245
0.0036157499998807907,dense_frontier,dense_frontier_n180_m6_g13_s23,compressed,180,0.0007351670001298771,0,23,0.004386000000522472
0.023164708000877,dense_frontier,dense_frontier_n180_m6_g13_s23,dense,180,0.004044792000058806,0,23,0.027237749999585503
0.022872624999763502,dense_frontier,dense_frontier_n180_m6_g13_s23,dense,180,0.004058792000250833,1,23,0.026957458000651968
0.003503291999550129,dense_frontier,dense_frontier_n180_m6_g13_s23,compressed,180,0.0007122500001059962,1,23,0.004248833000019658
0.0034050000003844616,dense_frontier,dense_frontier_n180_m6_g13_s23,compressed,180,0.0007568330001959112,2,23,0.004199291999611887
0.022964792000493617,dense_frontier,dense_frontier_n180_m6_g13_s23,dense,180,0.003998291999778303,2,23,0.026988583000274957
0.023184250000667816,dense_frontier,dense_frontier_n180_m6_g13_s23,dense,180,0.0040522500003135065,3,23,0.027261000000180502
0.003538291000040772,dense_frontier,dense_frontier_n180_m6_g13_s23,compressed,180,0.0007589580000058049,3,23,0.0043312080006217
0.003555749999577529,dense_frontier,dense_frontier_n180_m6_g13_s23,compressed,180,0.0007271670001500752,4,23,0.0043162499996469705
0.02291795800010732,dense_frontier,dense_frontier_n180_m6_g13_s23,dense,180,0.0040069579999908456,4,23,0.02695012499953009
0.006782417000067653,dense_frontier,dense_frontier_n360_m6_g18_s21,compressed,360,0.0012307919996601413,0,21,0.008075457999439095
0.046420665999903576,dense_frontier,dense_frontier_n360_m6_g18_s21,dense,360,0.008100832999843988,0,21,0.0545670000001337
0.04629808400022739,dense_frontier,dense_frontier_n360_m6_g18_s21,dense,360,0.008088333000159764,1,21,0.054436583000097016
0.006766291999156238,dense_frontier,dense_frontier_n360_m6_g18_s21,compressed,360,0.0013063329997748951,1,21,0.008136041999932786
0.006739916999322304,dense_frontier,dense_frontier_n360_m6_g18_s21,compressed,360,0.0012543329994514352,2,21,0.008070124999903783
0.0460254999998142,dense_frontier,dense_frontier_n360_m6_g18_s21,dense,360,0.00807033399996726,2,21,0.05414500000006228
0.046279832999971404,dense_frontier,dense_frontier_n360_m6_g18_s21,dense,360,0.008046875000218279,3,21,0.054373082999518374
0.00668829200003529,dense_frontier,dense_frontier_n360_m6_g18_s21,compressed,360,0.0012185420000605518,3,21,0.007968166999489767
0.006755542000064452,dense_frontier,dense_frontier_n360_m6_g18_s21,compressed,360,0.001217874999383639,4,21,0.008037749999857624
0.04665908300012234,dense_frontier,dense_frontier_n360_m6_g18_s21,dense,360,0.008201999999982945,4,21,0.054910374999963096
0.04596183400008158,dense_frontier,dense_frontier_n360_m6_g18_s22,dense,360,0.00805941700036783,0,22,0.0540745420003077
0.0067264580002301955,dense_frontier,dense_frontier_n360_m6_g18_s22,compressed,360,0.0012769160002790159,0,22,0.008066333999522612
0.006684875000246393,dense_frontier,dense_frontier_n360_m6_g18_s22,compressed,360,0.001178333000098064,1,22,0.007922041999336216
0.04572291699969355,dense_frontier,dense_frontier_n360_m6_g18_s22,dense,360,0.008059332999437174,1,22,0.05383008299941139
0.04614899999978661,dense_frontier,dense_frontier_n360_m6_g18_s22,dense,360,0.008254291999946872,2,22,0.05445954199967673
0.0067054579994874075,dense_frontier,dense_frontier_n360_m6_g18_s22,compressed,360,0.001270124999791733,2,22,0.008042624999688996
0.006685584000479139,dense_frontier,dense_frontier_n360_m6_g18_s22,compressed,360,0.0012570830003824085,3,22,0.008006334000128845
0.046272125000541564,dense_frontier,dense_frontier_n360_m6_g18_s22,dense,360,0.008028666999962297,3,22,0.05435208299968508
0.04593049999948562,dense_frontier,dense_frontier_n360_m6_g18_s22,dense,360,0.008247458999903756,4,22,0.0542275410007278
0.006656749999820022,dense_frontier,dense_frontier_n360_m6_g18_s22,compressed,360,0.001195791999634821,4,22,0.007916624999779742
0.00674674999936542,dense_frontier,dense_frontier_n360_m6_g18_s23,compressed,360,0.0012318749995756662,0,23,0.008045167000091169
0.04587937500036787,dense_frontier,dense_frontier_n360_m6_g18_s23,dense,360,0.008181374999367108,0,23,0.054107290999127144
0.04581029199925979,dense_frontier,dense_frontier_n360_m6_g18_s23,dense,360,0.008131500000672531,1,23,0.05398829200021282
0.006828708000284678,dense_frontier,dense_frontier_n360_m6_g18_s23,compressed,360,0.0012421659994288348,1,23,0.008132791000207362
0.006846332999884908,dense_frontier,dense_frontier_n360_m6_g18_s23,compressed,360,0.0012441250000847504,2,23,0.008151375000124972
0.046369540999876335,dense_frontier,dense_frontier_n360_m6_g18_s23,dense,360,0.008151832999828912,2,23,0.05456662500000675
0.04646983300062857,dense_frontier,dense_frontier_n360_m6_g18_s23,dense,360,0.008165833000020939,3,23,0.05468308299987257
0.0068242500001360895,dense_frontier,dense_frontier_n360_m6_g18_s23,compressed,360,0.0012126660003559664,3,23,0.008097042000372312
0.006829708000623214,dense_frontier,dense_frontier_n360_m6_g18_s23,compressed,360,0.0012340829998720437,4,23,0.008122500000354194
0.04586191700036579,dense_frontier,dense_frontier_n360_m6_g18_s23,dense,360,0.008143916999870271,4,23,0.05405158299981849
0.013382332999753999,dense_frontier,dense_frontier_n720_m6_g26_s21,compressed,720,0.0023026669996397686,0,21,0.015815084000678326
0.09306629200000316,dense_frontier,dense_frontier_n720_m6_g26_s21,dense,720,0.016230208000706625,0,21,0.10940216699964367
0.09297083399997064,dense_frontier,dense_frontier_n720_m6_g26_s21,dense,720,0.016466666999804147,1,21,0.10962225000002945
0.013172375000067404,dense_frontier,dense_frontier_n720_m6_g26_s21,compressed,720,0.0022567920004803455,1,21,0.015551208999568189
0.013341083000341314,dense_frontier,dense_frontier_n720_m6_g26_s21,compressed,720,0.0022345830002450384,2,21,0.01569050000034622
0.09298004199990828,dense_frontier,dense_frontier_n720_m6_g26_s21,dense,720,0.016464083000755636,2,21,0.10954391699942789
0.09265345800031355,dense_frontier,dense_frontier_n720_m6_g26_s21,dense,720,0.016265540999484074,3,21,0.10901812500014785
0.013205291000303987,dense_frontier,dense_frontier_n720_m6_g26_s21,compressed,720,0.002246832999844628,3,21,0.015572500000416767
0.013319584000782925,dense_frontier,dense_frontier_n720_m6_g26_s21,compressed,720,0.00226841699986835,4,21,0.015719375000116997
0.09356200000001991,dense_frontier,dense_frontier_n720_m6_g26_s21,dense,720,0.01610391600024741,4,21,0.10976658399977168
0.09244708299956983,dense_frontier,dense_frontier_n720_m6_g26_s22,dense,720,0.016469499999402615,0,22,0.10900074999972276
0.013224332999925537,dense_frontier,dense_frontier_n720_m6_g26_s22,compressed,720,0.002292208999278955,0,22,0.015644749999410124
0.013130291999914334,dense_frontier,dense_frontier_n720_m6_g26_s22,compressed,720,0.0022740419999536243,1,22,0.015521833000093466
0.0923428750002131,dense_frontier,dense_frontier_n720_m6_g26_s22,dense,720,0.01622945799954323,1,22,0.10866141699989385
0.09221041700038768,dense_frontier,dense_frontier_n720_m6_g26_s22,dense,720,0.015987542000402755,2,22,0.10829283299972303
0.013037165999776335,dense_frontier,dense_frontier_n720_m6_g26_s22,compressed,720,0.002251875000183645,2,22,0.015410207999593695
0.013064040999779536,dense_frontier,dense_frontier_n720_m6_g26_s22,compressed,720,0.002226207999228791,3,22,0.015404333999867958
0.09234891699998116,dense_frontier,dense_frontier_n720_m6_g26_s22,dense,720,0.016180749999875843,3,22,0.10862600000018574
0.0923532079996221,dense_frontier,dense_frontier_n720_m6_g26_s22,dense,720,0.016224167000473244,4,22,0.10867624999991676
0.013264042000628251,dense_frontier,dense_frontier_n720_m6_g26_s22,compressed,720,0.0023157080004239106,4,22,0.015707457999269536
0.013194874999499007,dense_frontier,dense_frontier_n720_m6_g26_s23,compressed,720,0.0023009579999779817,0,23,0.01561883299928013
0.09184704200015403,dense_frontier,dense_frontier_n720_m6_g26_s23,dense,720,0.01588774999981979,0,23,0.10782170800030144
0.09169291699981841,dense_frontier,dense_frontier_n720_m6_g26_s23,dense,720,0.01621304099990084,1,23,0.10799320800015266
0.013411707999694045,dense_frontier,dense_frontier_n720_m6_g26_s23,compressed,720,0.0022398330002033617,1,23,0.015770083000461455
0.013335750000806001,dense_frontier,dense_frontier_n720_m6_g26_s23,compressed,720,0.0022356660001605633,2,23,0.015684666000197467
