configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.819580624486,compressed,360,6.369611754318379e-13,0,9029.819580630237,0.10224012500020763,11,tolerance,12,9029.819580630237
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.819580624486,compressed,360,6.369611754318379e-13,1,9029.819580630237,0.10267091700006858,11,tolerance,12,9029.819580630237
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.819580624486,compressed,360,6.369611754318379e-13,2,9029.819580630237,0.10190250000050582,11,tolerance,12,9029.819580630237
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.819580624486,compressed,360,6.369611754318379e-13,3,9029.819580630237,0.10188649999963673,11,tolerance,12,9029.819580630237
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,3,9029.819580624486,compressed,360,6.369611754318379e-13,4,9029.819580630237,0.10285862500040821,11,tolerance,12,9029.819580630237
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.819580624486,clique,360,1.4100974788181105e-15,0,9038.334587804695,0.1502181660007409,11,tolerance,12,9029.819580624498
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.819580624486,clique,360,1.4100974788181105e-15,1,9038.334587804695,0.14955383300002723,11,tolerance,12,9029.819580624498
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.819580624486,clique,360,1.4100974788181105e-15,2,9038.334587804695,0.15009158399971056,11,tolerance,12,9029.819580624498
primary,second,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.819580624486,clique,360,1.4100974788181105e-15,3,9038.334587804695,0.14900762499928533,11,tolerance,12,9029.819580624498
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s11,4,9029.819580624486,clique,360,1.4100974788181105e-15,4,9038.334587804695,0.14853087499977846,11,tolerance,12,9029.819580624498
primary,first,dense_frontier,dense_frontier_n360_m6_g18_s12,3,9018.218983884999,compressed,360,2.884333205612636e-13,0,9018.2189838876,0.10267654199924436,12,tolerance,12,9018.2189838876
