configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,compressed,720,1.3215575084657605e-13,0,18251.040409904457,0.05394316699948831,31,tolerance,3,18251.040409904457
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,compressed,720,1.3215575084657605e-13,1,18251.040409904457,0.05355904199950601,31,tolerance,3,18251.040409904457
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,compressed,720,1.3215575084657605e-13,2,18251.040409904457,0.052983958999902825,31,tolerance,3,18251.040409904457
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,clique,720,5.780568287406795e-15,0,18251.04040990215,0.06439987500016287,31,tolerance,3,18251.04040990215
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,clique,720,5.780568287406795e-15,1,18251.04040990215,0.06845008299933397,31,tolerance,3,18251.04040990215
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s31,0,18251.040409902045,clique,720,5.780568287406795e-15,2,18251.04040990215,0.06735004200072581,31,tolerance,3,18251.04040990215
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18255.304966123687,compressed,720,9.705100420625097e-14,0,18255.30496612546,0.05371829199975764,32,tolerance,3,18255.30496612546
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18255.304966123687,compressed,720,9.705100420625097e-14,1,18255.30496612546,0.051908833000197774,32,tolerance,3,18255.30496612546
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18255.304966123687,compressed,720,9.705100420625097e-14,2,18255.30496612546,0.05224683300002653,32,tolerance,3,18255.30496612546
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18255.304966123687,clique,720,5.579934533418947e-15,0,18255.30496612379,0.0613958330004607,32,tolerance,3,18255.30496612379
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18255.304966123687,clique,720,5.579934533418947e-15,1,18255.30496612379,0.06071650000012596,32,tolerance,3,18255.30496612379
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s32,0,18255.304966123687,clique,720,5.579934533418947e-15,2,18255.30496612379,0.060738459000276634,32,tolerance,3,18255.30496612379
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s33,0,18254.96046981809,compressed,720,1.3950099586217159e-14,0,18254.960469818343,0.05266945800030953,33,tolerance,3,18254.960469818343
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s33,0,18254.96046981809,compressed,720,1.3950099586217159e-14,1,18254.960469818343,0.055501165999885416,33,tolerance,3,18254.960469818343
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s33,0,18254.96046981809,compressed,720,1.3950099586217159e-14,2,18254.960469818343,0.053722042000117654,33,tolerance,3,18254.960469818343
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s33,0,18254.96046981809,clique,720,1.992871369459594e-15,0,18254.960469818125,0.06004887499966571,33,tolerance,3,18254.960469818125
sparse_budget,second,dense_frontier,dense_frontier_n720_m6_g1_s33,0,18254.96046981809,clique,720,1.992871369459594e-15,1,18254.960469818125,0.07113941700026771,33,tolerance,3,18254.960469818125
sparse_budget,first,dense_frontier,dense_frontier_n720_m6_g1_s33,0,18254.96046981809,clique,720,1.992871369459594e-15,2,18254.960469818125,0.06523225000000821,33,tolerance,3,18254.960469818125
sparse_budget,second,correlated_risk,correlated_risk_n720_m6_g1_s31,0,15798.53042086984,compressed,720,2.394841709060094e-14,0,15798.530420870218,0.05087529199954588,31,tolerance,3,15798.530420870218
sparse_budget,first,correlated_risk,correlated_risk_n720_m6_g1_s31,0,15798.53042086984,compressed,720,2.394841709060094e-14,1,15798.530420870218,0.05106704199988599,31,tolerance,3,15798.530420870218
sparse_budget,second,correlated_risk,correlated_risk_n720_m6_g1_s31,0,15798.53042086984,compressed,720,2.394841709060094e-14,2,15798.530420870218,0.049651499999527005,31,tolerance,3,15798.530420870218
sparse_budget,first,correlated_risk,correlated_risk_n720_m6_g1_s31,3,15798.53042086984,clique,720,3.3663153240997916e-07,0,15799.10366309857,0.30186495799989643,31,tolerance,12,15798.535739153345
sparse_budget,second,correlated_risk,correlated_risk_n720_m6_g1_s31,3,15798.53042086984,clique,720,3.3663153240997916e-07,1,15799.10366309857,0.2856305000004795,31,tolerance,12,15798.535739153345
sparse_budget,first,correlated_risk,correlated_risk_n720_m6_g1_s31,3,15798.53042086984,clique,720,3.3663153240997916e-07,2,15799.10366309857,0.2858308750001015,31,tolerance,12,15798.535739153345
sparse_budget,first,correlated_risk,correlated_risk_n720_m6_g1_s32,3,15777.52691797407,compressed,720,2.4787327177165514e-13,0,15777.52691797798,0.1836162499994316,32,tolerance,12,15777.52691797798
sparse_budget,second,correlated_risk,correlated_risk_n720_m6_g1_s32,3,15777.52691797407,compressed,720,2.4787327177165514e-13,1,15777.52691797798,0.18321970799934206,32,tolerance,12,15777.52691797798
sparse_budget,first,correlated_risk,correlated_risk_n720_m6_g1_s32,3,15777.52691797407,compressed,720,2.4787327177165514e-13,2,15777.52691797798,0.18345124999996187,32,tolerance,12,15777.52691797798
sparse_budget,second,correlated_risk,correlated_risk_n720_m6_g1_s32,3,15777.52691797407,clique,720,9.45377129547708e-15,0,15777.664311215744,0.2728717919999326,32,tolerance,12,15777.526917974219
sparse_budget,first,correlated_risk,correlated_risk_n720_m6_g1_s32,3,15777.52691797407,clique,720,9.45377129547708e-15,1,15777.664311215744,0.2743642080004065,32,tolerance,12,15777.526917974219
sparse_budget,second,correlated_risk,correlated_risk_n720_m6_g1_s32,3,15777.52691797407,clique,720,9.45377129547708e-15,2,15777.664311215744,0.29329045899976336,32,tolerance,12,15777.526917974219
sparse_budget,second,correlated_risk,correlated_risk_n720_m6_g1_s33,3,15796.072112584723,compressed,720,8.855384055966281e-14,0,15796.072112586122,0.19712441699994088,33,tolerance,12,15796.072112586122
sparse_budget,first,correlated_risk,correlated_risk_n720_m6_g1_s33,3,15796.072112584723,compressed,720,8.855384055966281e-14,1,15796.072112586122,0.18800233300044056,33,tolerance,12,15796.072112586122
sparse_budget,second,correlated_risk,correlated_risk_n720_m6_g1_s33,3,15796.072112584723,compressed,720,8.855384055966281e-14,2,15796.072112586122,0.19519604099969,33,tolerance,12,15796.072112586122
sparse_budget,first,correlated_risk,correlated_risk_n720_m6_g1_s33,3,15796.072112584723,clique,720,1.0018444900768094e-14,0,15796.253483039973,0.2876080419991922,33,tolerance,12,15796.072112584881
sparse_budget,second,correlated_risk,correlated_risk_n720_m6_g1_s33,3,15796.072112584723,clique,720,1.0018444900768094e-14,1,15796.253483039973,0.28760412500014354,33,tolerance,12,15796.072112584881
sparse_budget,first,correlated_risk,correlated_risk_n720_m6_g1_s33,3,15796.072112584723,clique,720,1.0018444900768094e-14,2,15796.253483039973,0.30452375000004395,33,tolerance,12,15796.072112584881
sparse_budget,second,near_tie,near_tie_n720_m6_g1_s31,0,13449.870223142274,compressed,720,1.9285530985966548e-13,0,13449.870223144868,0.05142012499982229,31,tolerance,3,13449.870223144868
sparse_budget,first,near_tie,near_tie_n720_m6_g1_s31,0,13449.870223142274,compressed,720,1.9285530985966548e-13,1,13449.870223144868,0.0568492080001306,31,tolerance,3,13449.870223144868
sparse_budget,second,near_tie,near_tie_n720_m6_g1_s31,0,13449.870223142274,compressed,720,1.9285530985966548e-13,2,13449.870223144868,0.051558458000727114,31,tolerance,3,13449.870223144868
sparse_budget,first,near_tie,near_tie_n720_m6_g1_s31,0,13449.870223142274,clique,720,0.0,0,13449.870223142174,0.05548200000066572,31,tolerance,3,13449.870223142274
sparse_budget,second,near_tie,near_tie_n720_m6_g1_s31,0,13449.870223142274,clique,720,0.0,1,13449.870223142174,0.058783499999663036,31,tolerance,3,13449.870223142274
sparse_budget,first,near_tie,near_tie_n720_m6_g1_s31,0,13449.870223142274,clique,720,0.0,2,13449.870223142174,0.05790091600010783,31,tolerance,3,13449.870223142274
sparse_budget,first,near_tie,near_tie_n720_m6_g1_s32,0,13494.928432485023,compressed,720,6.238108635941865e-13,0,13494.928432493442,0.05078520799997932,32,tolerance,3,13494.928432493442
sparse_budget,second,near_tie,near_tie_n720_m6_g1_s32,0,13494.928432485023,compressed,720,6.238108635941865e-13,1,13494.928432493442,0.05055691699999443,32,tolerance,3,13494.928432493442
sparse_budget,first,near_tie,near_tie_n720_m6_g1_s32,0,13494.928432485023,compressed,720,6.238108635941865e-13,2,13494.928432493442,0.05126508400007879,32,tolerance,3,13494.928432493442
sparse_budget,second,near_tie,near_tie_n720_m6_g1_s32,0,13494.928432485023,clique,720,0.0,0,13494.928432484943,0.05133650000061607,32,tolerance,3,13494.928432485023
sparse_budget,first,near_tie,near_tie_n720_m6_g1_s32,0,13494.928432485023,clique,720,0.0,1,13494.928432484943,0.0512246669995875,32,tolerance,3,13494.928432485023
