configuration,execution_order,family,instance,interval_splits,lower_bound,method,n,relative_gap,repeat,root_upper_bound,seconds,seed,status,theta_lp_evaluations,upper_bound
stress,second,dense_frontier,dense_frontier_n2880_m6_g53_s41,0,72736.55841874774,compressed,2880,1.080341769551294e-14,0,72736.55841874852,0.21400887499930832,41,tolerance,3,72736.55841874852
stress,first,dense_frontier,dense_frontier_n2880_m6_g53_s41,0,72736.55841874774,compressed,2880,1.080341769551294e-14,1,72736.55841874852,0.20634958400023606,41,tolerance,3,72736.55841874852
stress,first,dense_frontier,dense_frontier_n2880_m6_g53_s41,2,72736.55841874774,clique,2880,0.0,0,72749.4486654535,1.3538452919992778,41,exact,9,72736.55841874774
stress,second,dense_frontier,dense_frontier_n2880_m6_g53_s41,2,72736.55841874774,clique,2880,0.0,1,72749.4486654535,1.3660226669999247,41,exact,9,72736.55841874774
stress,second,dense_frontier,dense_frontier_n5760_m6_g75_s41,0,145670.98003607706,compressed,5760,5.174601067712447e-14,0,145670.9800360846,0.4048339169994506,41,tolerance,3,145670.9800360846
stress,first,dense_frontier,dense_frontier_n5760_m6_g75_s41,0,145670.98003607706,compressed,5760,5.174601067712447e-14,1,145670.9800360846,0.40652804099954665,41,tolerance,3,145670.9800360846
stress,first,dense_frontier,dense_frontier_n5760_m6_g75_s41,2,145670.98003607706,clique,5760,2.4574360282958724e-14,0,145679.29548142126,3.7077947919997314,41,tolerance,9,145670.98003608064
stress,second,dense_frontier,dense_frontier_n5760_m6_g75_s41,2,145670.98003607706,clique,5760,2.4574360282958724e-14,1,145679.29548142126,3.7189383329996417,41,tolerance,9,145670.98003608064
stress,second,correlated_risk,correlated_risk_n2880_m6_g53_s41,2,62744.693729770646,compressed,2880,0.0,0,62746.12776544895,0.5457755830002498,41,exact,9,62744.693729770646
stress,first,correlated_risk,correlated_risk_n2880_m6_g53_s41,2,62744.693729770646,compressed,2880,0.0,1,62746.12776544895,0.5479601669994736,41,exact,9,62744.693729770646
stress,first,correlated_risk,correlated_risk_n2880_m6_g53_s41,4,62744.693729770646,clique,2880,0.0,0,62861.04815103051,3.2012865829992734,41,exact,15,62744.693729770646
stress,second,correlated_risk,correlated_risk_n2880_m6_g53_s41,4,62744.693729770646,clique,2880,0.0,1,62861.04815103051,3.163741082999877,41,exact,15,62744.693729770646
stress,second,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.56177700705,compressed,5760,1.0353809092736159e-13,0,125650.51743733294,1.4513024580001002,41,tolerance,12,125648.56177702006
stress,first,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.56177700705,compressed,5760,1.0353809092736159e-13,1,125650.51743733294,1.4852488750002522,41,tolerance,12,125648.56177702006
stress,first,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.56177700705,clique,5760,3.474432581455087e-14,0,125800.35020056929,11.184447667000313,41,tolerance,12,125648.56177701142
stress,second,correlated_risk,correlated_risk_n5760_m6_g75_s41,3,125648.56177700705,clique,5760,3.474432581455087e-14,1,125800.35020056929,11.161250874999496,41,tolerance,12,125648.56177701142
stress,second,near_tie,near_tie_n2880_m6_g53_s41,0,53334.39883924366,compressed,2880,7.598676425163285e-14,0,53334.39883924771,0.19643025000004855,41,tolerance,3,53334.39883924771
stress,first,near_tie,near_tie_n2880_m6_g53_s41,0,53334.39883924366,compressed,2880,7.598676425163285e-14,1,53334.39883924771,0.1970769580002525,41,tolerance,3,53334.39883924771
stress,first,near_tie,near_tie_n2880_m6_g53_s41,3,53334.39883924366,clique,2880,2.810282483992166e-14,0,53351.303891355354,1.5948335000002771,41,tolerance,12,53334.39883924516
stress,second,near_tie,near_tie_n2880_m6_g53_s41,3,53334.39883924366,clique,2880,2.810282483992166e-14,1,53351.303891355354,1.5480790419996993,41,tolerance,12,53334.39883924516
stress,second,near_tie,near_tie_n5760_m6_g75_s41,0,107178.38889048809,compressed,5760,5.987582648090463e-14,0,107178.3888904945,0.39657408299990493,41,tolerance,3,107178.3888904945
stress,first,near_tie,near_tie_n5760_m6_g75_s41,0,107178.38889048809,compressed,5760,5.987582648090463e-14,1,107178.3888904945,0.39518891599982453,41,tolerance,3,107178.3888904945
stress,first,near_tie,near_tie_n5760_m6_g75_s41,2,107178.38889048809,clique,5760,0.0,0,107193.47655153857,3.391410541999903,41,exact,9,107178.38889048809
stress,second,near_tie,near_tie_n5760_m6_g75_s41,2,107178.38889048809,clique,5760,0.0,1,107193.47655153857,3.4069162499999948,41,exact,9,107178.38889048809
stress,second,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64202.24096847564,compressed,2880,1.6999307589020235e-14,0,64202.24096847673,2.4481002499996976,41,tolerance,30,64202.24096847673
stress,first,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64202.24096847564,compressed,2880,1.6999307589020235e-14,1,64202.24096847673,2.4495734580004864,41,tolerance,30,64202.24096847673
stress,first,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64202.24096847564,clique,2880,1.6999307589020235e-14,0,64897.66054491806,5.098064124999837,41,tolerance,30,64202.24096847673
stress,second,many_breakpoints,many_breakpoints_n2880_m6_g53_s41,9,64202.24096847564,clique,2880,1.6999307589020235e-14,1,64897.66054491806,5.118647416000385,41,tolerance,30,64202.24096847673
stress,second,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123881.34172795448,compressed,5760,7.025790014214886e-07,0,123881.42876438385,5.01559454100061,41,tolerance,30,123881.42876438385
stress,first,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123881.34172795448,compressed,5760,7.025790014214886e-07,1,123881.42876438385,5.02624037500027,41,tolerance,30,123881.42876438385
stress,first,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123881.34172795448,clique,5760,7.025790072948166e-07,0,126803.57999599884,16.996100542000022,41,tolerance,30,123881.42876438457
stress,second,many_breakpoints,many_breakpoints_n5760_m6_g75_s41,9,123881.34172795448,clique,5760,7.025790072948166e-07,1,126803.57999599884,17.19636004199947,41,tolerance,30,123881.42876438457
